text,labels
"The film starts off in the clouds. We then see a father and daughter cycling along, the daughter seems to be besotted with her father, he is her role model you could say. They cycle up a hill where the father stops his bike at some trees, the daughter stops when her father does, they embrace before the father walks down a hill to a boat. The daughter remains at the top of the hill, the father runs up and hugs her tightly before leaving on the boat. The music changes, the girl becomes sad and cycles away. However she comes back when she is older, I imagine she comes back regularly to the place where she last saw her father and his bike is still there.","[3, 0, 0, 0, 0, 0]"
"The story of a father and daughter, a close relationship, with mutual love and respect. Conditions and circumstances unknown, possibly unknowable or indeed of negligible importance, force their separation. Father is heartbroken and devastated to be leaving his daughter. Daughter is heartbroken and devastated that the father has left. She does not loose faith or give up, returning regularly to watch for his return from the horizon. She is restricted, forbidden, from actively searching for her father, as she has no boat, and there is no clear route. She is utterly helpless, with no information on his whereabouts, nothing to inform her expectations, nothing that can aid her in understanding. She must wait.","[5, 3, 2, 5, 0, 0]"
"The father and daughter are cycling through the countryside. The father is much bigger, and rides a larger bicycle than his daughter. They reach the sea. The father hugs his daughter, before getting onto a small boat. He sails into the horizon as his daughter looks on in despair. His bike is left by the tree as the daughter rides away. The following day, she returns, only to find the calm sea, and her father, no where to be seen.","[1, 0, 0, 0, 0, 0]"
It is a very sad film scene about a father and his daughter. The father and daughter went on a cycle. They were very happy and the father clearly loved his daughter. Then the father made the decision to go on the boat and leave his daughter. She was really upset but didn't let it stop her from coming back to see whether her father had come back.,"[2, 1, 1, 2, 1, 0]"
"A father and daughter are cycling along in the countryside together. They cycle up a hill, and the father gets off his bike. The daughter also dismounts. He kisses his daughter, then goes down the side of the hill to a lake, where there is a rowing boat. He goes back up the hill to his daughter, hugs her once more and lifts her up. He then goes back down the hill, gets into the boat, and rows off into the distance. His daughter watches from the top of the hill as he does this. She runs over to one side, then back again, presumably because she is distraught at seeing her father abandon her. The father keeps rowing until he can no longer be seen. The daughter cycles back down the hill, and returns in the evening at sunset. Her father's bike is still there, and he is nowhere to be seen.","[1, 0, 0, 0, 0, 0]"
"It starts with a scene of the sky, clouds shifting as if there is wind and that a period of time has past. We are then introduced to two blackened figures. One tall and broad, which indicates a man and the second, small with long hair and seems to wear a dress. This portrays that it's a little girl. We then see that they both have bicycles and they take a cycle through what appears to be the countryside. After a time, the two figures stop by a set of trees and dismount from their bicycles. The man figure then disappears and the little girl is left alone. The scene then changes and we see the man has descended from a large hill which leads to the sea and there is a boat waiting there. The man looks at the boat and then runs back up the hill to the little girl and gives her a big hug. It is clear then that they are father and daughter. The father then goes back down the hill and gets in the boat, which he paddles out to the horizon. The girl is left on top of the hill, looking at her father rowing out to sea. Her face is zoomed in on and she appears to be crying. As he gets further away and eventually disappears, she decides to get back on her bicycle and ride away. She is then reintroduced, but it is unclear if any time has past. She cycles back up to where she last saw her father but he is still not there, but his bicycle is.","[0, 1, 0, 0, 0, 0]"
"Father and daughter are out cycling.  They arrive a place with trees on a hill.  They leave their bikes aside. Father hugs and kisses his daughter.  He then goes down a hill toward a lake or seashore where there is a rowing boat.  He returns and hugs and kisses his daughter again.  He twirls her in the air, then places her back down.  He then proceeds to get into the boat and rows away into the horizon.  The daughter then cycles off.  She returns on her bike to the shore area at twilight, possibly in anticipation of her father returning.  The film ends with just the girl alone.  ","[0, 1, 0, 0, 0, 0]"
"In my opinion, the film displayed a young girl being abandoned by her father. However it didn't seem like a willing leaving but more a forced. The father appeared sad to leave his child however it seemed like he must. The child however waited for his return. She seemed unaware of what was happening and unaware her father was not going to come back.  This story seems to be about obligation and possibly a a war related story.","[0, 3, 0, 1, 0, 1]"
"A father and his young daughter are cycling by through scenic Dutch countryside. On reaching a hill, the daughter has great difficulty climbing the hill though the father has no problem. Parking their bikes by a cluster of trees, the father tenderly hugs his daughter. He momentarily vanishes over the lip of the hill. We see he has found a boat moored by the edge of the lake. Climbing the hill to hold his daughter one more time and throw her in the air, he rows off into the sunset. The daughter bounces around, expecting him to return. She soon pedals off on her back. Sometime later, she comes back to the same spot, climbing the hill on her bike with no trouble. She leaps off her bike, looking out to the lake. Her expression is cloaked in ambiguity as she regards the empty body of water. She slowly picks up her bike and cycles off again. A dove flies by one of the trees into the expanse of sky above.","[0, 1, 0, 1, 0, 1]"
"A father and daughter are cycling up a hill/mountain, surrounded by slightly eery/dark objects like trees etc. the father and daughter seem to have a close relationship. The father leaves in a boat, just off the edge of the hill. The daughter is left behind. She is worried. She returns back to that place where the father left her, only to be disappointed by him still being gone. She is now alone.","[3, 0, 0, 1, 0, 0]"
"The film begins , showing a father and his daughter , cycling next to each other . The daughter is clearly much smaller than her father . The two reach a point , by a tree where the two leave their bikes and stop. The father walks down a hill to a lake where he sees a boat at a peer. He then walks back up to the daughter , takes her in his arms and hugs her. The father walks down to the boat , the next shot shows the fathers boat moving further away from the daughter. The girl is standing at the edge watching her father move away from her . As the boat moves the daughter moves from left to right along the edge , trying to see her father better. In the coming days the girl cycles back to the spot where her father left , presumably to see if he has come back . This occurs day after day , however the father does not come back .","[0, 0, 2, 0, 0, 0]"
the start of the film shows a father and daughter. they seem to be sad. the father goes down to the hill to where the boat is. the father leaves and the daughter is seen to be crying upset that her father is leaving. they have a moment and hug each other.the film in a sepia effect with old music playing in the background the film ends in the father leaving in a rowing book towards the horizon.,"[2, 0, 0, 1, 0, 0]"
This segment seems to be about a daughter saying goodbye to her criminal father who was fleeing the country. He's done something really bad and is going to be locked up forever which he can't face so he decides to run away from everything. He hopes to come back when everyone forgets what he's done. I think this because the girl is in on it and keeps going back to look for him. ,"[0, 0, 0, 1, 1, 0]"
"A father and daughter are cycling together. They come to a hill. Both ascend the hill and stop at the top to look out over the ocean. The father gets off his bike and lifts the daughter up before he goes down to the waters edge. The father then comes back to the daughter to say goobye and embrace  her before he heads off on his own in a rowing boat. His departure is slow and he is watched by his daughter until he reaches the horizon. The daughter moves back and forth on the shoreline , seemingly agitated \ distressed by his departure. The girls mounts her back and passes the place the father left his bicycl. She returns back down the hill. Before the clip ends we see the daughter return bacvj up the hill this time her ascent is slower and more laborius. We see her park next to the father's bike that is still propped against the tree as she gazes out to the horizon. We see a close up of her face , she looks was . ","[2, 0, 1, 0, 0, 2]"
"The film started off with presumably a father and daughter. They were cycling along a long straight road until they stopped at a tree. The father rested his bike against it and called his daughter back to stop cycling as well. He then climbed down to a boat on the shore to inspect it. He went back up to hug his daughter and to say goodbye, the scene shows him rowing a boat out onto the horizon indicating that he is going on a long trip. The daughter appears distressed as she runs along the hillside wondering if he is coming back. She goes home on her bike and cycles back the next morning perhaps as the sun is rising. The fathers bike is still leaning against the tree and he has not returned. The clip ends with the daughter cycling her bike back home again.","[1, 1, 0, 0, 0, 2]"
"The girl And the man cycled to the sea. The man went to leave in the boat but turned back to say goodbye one more time. The girl doesn't wait around when the man, maybe her father, eventually leaves. She cycles home, leaving his bike by the tree where he left it. I don't know if he will come back or not.","[0, 0, 0, 0, 0, 1]"
"There is a father and daughter and they go cycling together. They go up to a hill and the father stops at some trees. The girl seems not expect this as she cycles forward and then back. The father seems distant but affectionate at the same time. He disappears from view and we are shown the sea and a boat. He sees the boat and returns to his daughter to give her a hug. He leaves her and gets in to the boat, rowing off into the horizon. The girl watches from the hill, obviously distressed as she paces back and forth. After some time she leaves, it is not known where and then returns. His bike is where he left it but he is no where to be seen. / ","[1, 1, 0, 2, 0, 1]"
"The father and daughter are cycling together through the countryside. It seems to start off on a happy note, and nothing seems to be amiss. They cycle up a hill. Eventually they reach a river/sea. The father stops his bike first and gets off. The daughter overshoots him and has to turn back. She gets off her bike also and walks with him to the slope above the sea. The father walks down to a slope to a rowing boat that is docked there. He then turns around and runs back up the hill to hug his daughter. He gets into the boat, leaving his daughter on top of the slope. He rows off into the distance while a close up of the daughter's sad expression is shown. She runs back and forth on the slope. Then she gets on her bike and leaves. She comes back at a later point and looks out at the sea with a  sad expression. She then gets on her bike and rides off again.","[2, 0, 0, 0, 0, 1]"
It was strange and didn't seem to have a plot.,"[0, 0, 0, 0, 0, 0]"
There was a little girl and her father cycling down to the edge of the sea. The father said goodbye to his daughter and got onto a boat and sailed away and left the little girl by herself. The little girl returned each day to see if her father's bike was still there which would indicate his return but his bike was still there and he never returned.,"[0, 0, 1, 0, 0, 0]"
"The film starts with father and daughter going through a country side scene (trees, hills, etc), each one in a bicycle.  / The countryside isn't much detailed because the movie shows everything only as shadows, giving more detail to the father and daughter. / The father is using something like a raincoat used in the 40's I think and the girl is using a dress and have pigtails. / After a sharp rise in the road, they come into a twin trees and leave the bicycles. / The girl waits while the father goes down a sharp slope that ends in the water of a lake/ocean where a boat is docked. / The father looks back and realising that his daughter didn't follow he goes up and catch hear and gives a big hug before going into the ocean in the boat. / The girls stands in the upper part of the slope looking as the boat goes away in the lake/ocean. / When the boat is only a point in the lake/ocean she get the bicycle and goes away. / A red sun shows that is already dusk when we see the girl going back to the place. She has some hard time trying to get past the sharp rise before the trees. His father bike is still in the same place. / She looks at the lake/ocean for some time, then (maybe thinking his father won't be back today) goes back to the bike and goes away. / The girl don't seem to be apprehensive because his father didn't coming at dawn. Maybe it happened before. / The music of the movie is a happy music, even as the father leave the children. / ","[1, 1, 1, 0, 1, 0]"
"It is a story about a father and a daughter. They are cycling together and the daughter seems to look up to her father. He allows her to cycle in front of him for the entire uphill cycle. When they park their bikes the daughter moves her bike closer and infront of her dads. Then the dad hugs her several times before going downhill to a boat. he then sails off into the distance. The daughter waits for a bit but then realises he's not coming back at that time so she cycles home, leaving his bike where he left it. In the future she cycles to the same place and looks for her father again. his bike is still there, perhaps she left it there so if he even returns he can cycle home.","[1, 1, 0, 0, 0, 0]"
"The little girl and her father ride their bikes together through the countryside until they reach some tall trees. They lean their bikes up against the trees together and they hug. The father walks down to the dock at the bottom of a little hill to find a boat, the daughter doesn't walk down with him. He walks back up to her to say goodbye and he lifts her up and they hug. Instead of bringing her with him, the father puts her back down on the grass and goes out into the sea on a little boat by himself. As he sails away in the distance the little girl is eager not to let him disappear from her sight as she stands on the land, but eventually he does. She looks sad and takes her bike and travels back the way they had originally cycled together. What seems like the next day or perhaps the day when the father was supposed to return, the little girl cycles the same way through the countryside to the hill with the trees by herself, looking for her father on the horizon. She doesn't see him, looking defeated and confused, she heads back on her bicycle the way she came, alone.","[4, 0, 0, 0, 0, 1]"
A father and daughter cycle through the countryside together. When they reach the shore they stop cycling. The father leaves his bike with his daughter and gets into a boat. He rows the boat off into the distance leaving his daughter behind. Leaving her father's bike behind she cycles off. She eventually returns to the scene. She appears to be checking to see if her father has returned. He hasn't.  ,"[0, 0, 1, 0, 0, 0]"
"A father and his daughter went for a cycle. They went up a tall hill and struggled near the top. Once there, they got off their bicycles. The father went to the bottom of the hill to check on the boat before hugging his child goodbye. The little girl looked longingly and sadly as her father sailed away... She ran up and down the shore fretting the whole time. She clearly quite upset. The next day the poor child returned to the spot to see if her father had come back. However, he had not...","[4, 0, 1, 0, 0, 1]"
"A very close father and daughter, who loved each other very much were forced to separate. It was upsetting to both of them. The father reluctantly left and the daughter was left behind. For years the daughter returned to the spot from where her father had left only to be disappointed by the fact that he never returned. She looked very lonely, but yet she made the difficult trip time and time again in the hope of reuniting with her father. The film ended without letting us know if there the father and daughter every reunited, thus leaving a very melancholy feeling having watched the film.","[6, 0, 0, 4, 0, 0]"
"There was a father and his daughter who were cycling along together. They were cycling all over the place, up mountains, possibly indicating the amount of time they spent together. They then cycled up one last hill and reached some trees where the dismounted their bikes. The father proceeded to go down a hill after hugging his daughter and then towards a boat. Before he got into the boat he ran back up to his daughter lifting her and embracing her. He then went back to the boat to row away into the horizon. The daughter waited for him for some time but he didn't return. So she got back onto her bike and left. After some time, possibly into that evening, she returned, in hope of the return. However he had not returned and she left once again. ","[1, 1, 0, 0, 0, 1]"
"From my viewing of the piece it is a girl who reminisces about bike rides she took with her father and the love they shared before he had to leave on a boat across the ocean not to return.which could be seen as a metaphor for his death. The girl is then upset that her father had to leave and watches as he fades into the distance. She then returns another time to see if she can see him once again but he is still away at sea. To me it shows the progression of her grief almost at her fathers passing,there one last hug and kiss goodbye and then nothing is left but her want for his return.","[4, 1, 1, 1, 0, 1]"
"This story involved a father and daughter parting ways. It began quite pleasantly, with the father and daughter meeting and cycling together, with quite calming music in the background. However, it became more emotionally charged and melancholy towards the end, with the father hugging his daughter tightly, and then leaving her alone, sailing away into the distance. Close up shots of the daughters face showed her despair. She eventually cycled away, leaving the water and her fathers bike behind. However, she returns the following day, in the hope that her father will have returned, but when she see's that he has not, she cycles away alone once more, dejected and upset.","[4, 0, 0, 0, 0, 0]"
"A man and daughter go for a cycle to come to stop by big trees. Father gets off bike, puts against tree. Daughter copies. Father goes down a hill to a waters edge. Runs back to daughter and gives her a loving hug. Goes back down the hill and gets into the boat. He rows away into the sunset. Child watches him go then gets her bike and cycles back in original direction. Later the girl goes up a big hill on her bike and arrives at same spot her father left. She's waiting.","[0, 0, 0, 1, 0, 0]"
"A father and daughter are cycling together. We don't know where they are going. They ride up a hill. They dismount at the top of the hill. The father goes further ahead and sees a small boat moored on the coast. He returns to his daughter and hugs her. He returns to the boat and leaves the coast as the daughter watches on. Later, the daughter returns and looks to water for a sign of her father. ","[0, 0, 0, 0, 0, 0]"
"After watching the film, I can sense that the father and child get along well because the daughter seems energetic and excited around him. / The wife or parent of the child is not in the story and suggests that the father may not be having a good relationship with her. / The father may have become depressed or have decided to leave the child after some sort of event that had happened, probably divorced his partner.  /  The father seems to be sad leaving his daughter. / The daughter does not seem to know what is going on.  / she does not stop her father from getting on the boat and seems confused. / She comes back later in the scene as if expecting her father to return. / The storyline seems to be melancholic. / The colour, sound, and setting seem to have contributed to the mood of the story.","[3, 2, 0, 4, 1, 0]"
The father and daughter are travelling together on there bikes to the place where the boat is. The father must leave his daughter for a certain reason ( to work ) and his daughter is still very reliant on him and is very eager for his return which is why she goes to that same place each day on her bike to see when he wil be home.It shows the bond between a father and daughter and how reliant daughters can be on there fathers.,"[2, 0, 1, 1, 0, 1]"
"The Father in this scene is leaving for what appears to be some time. His daughter cycles with him to his boat. It seems as though they share a close bond. The father seems to find it difficult to leave, hugging his daughter twice before doing so. The young girl in turn returns to the place to see is her father still there/ has he returned indicating that she did not want to see him leave and is waiting impatiently for his return.","[3, 1, 1, 2, 0, 0]"
"A girl and her father take a long cycle together, they arrive at the shore where the father bids the girl farewell, boards a rowing boat and rows into the distance leaving his bike and daughter ashore. The girl cycles home but returns to the same spot some time later to see if her father has returned, however he has not. ","[0, 0, 1, 0, 0, 0]"
"A young girl and her father cycled down to a boat dock. The daughter appeared content to be cycling with her father. The father walked down a hill to check on the boat and then returned to his daughter to give her a hug and say his goodbyes. He then got in the boat and rowed out to sea into the horizon. The little girl looked frazzled as if she didn't know where he was going. She then picked up her bike and cycled home, leaving her father's bike resting against the tree. She then returned the next day only to find that her father still had not returned but his bike was still there. She cycled home alone.","[2, 1, 0, 0, 0, 2]"
"A father and daughter are cycling together alongside a body of water on a road edged with trees. It's morning time and the road is quiet, with no other people or vehicles. The daughter is animated, chatting with her father, who seems more reserved.  /  / They cycle along the road until they arrive at a steep hill. They cycle up the hill, the daughter struggling a little, and come to a boat, which is moored. The father gives his daughter a hug and looks at the boat, then turns back to give her a longer hug. He then climbs into the boat and casts off the mooring line, rowing away into the distance. The daughter waits for a while, watching him go and then cycles sadly off, back along the road she and her father came by. Towards sunset she cycles back, sets her bike down and looks for any sign of her father returning, walking up and down alongside the shore.  /  / Finally, after a time, her shoulders slump and she picks up her bike and walks home.","[2, 0, 0, 1, 0, 0]"
"Two figures, one large and one small were cycling through the countryside. When they reach two large trees they stopped their bikes and got off them. The man went down a small hill towards the water. Before getting onto the boat , he came back up to the small girl who was peering down. He picked her up and spun her around. He then got onto the boat and travelled away into the horizon. The small girl watched and paced the shore a few times before cycling away. Later she comes cycling back up the hill and parks her bike at the same hill and peers out into the water. She then cycles away again. ","[0, 0, 0, 0, 0, 0]"
"The little girl and her daddy go for a cycle in what appears to be a country side with hills and fields.  / When they get to the sea? or a large lake, the dad checks the boat and then gives her a hug and leaves, presumably with no explanation as he gives her a quick hug and leaves.  / The little girls watches him, not realising he is gone for good.  / she eventually leaves, but returns the next day to see if he will return. She does not wait as long this time. ","[0, 1, 1, 0, 0, 0]"
The father and daughter cycled a long distance until they came to the edge of the sea. The father saw a sail boat and went down to the edge to look at it. The father picked up his daughter and kissed her and then sailed away. The daughter waited for him to come back but he did not. She cycled away and came back again but he still had not returned. ,"[0, 1, 0, 0, 0, 0]"
A father and his daughter are riding their bikes together. They reach the shore of a body of water and the father rows out to sea. The girl watches from the shore for a while. She looks sad. She gets back on her bike. She pedals furiously. She pedals up a very steep hill. She returns to the shore where her father has left his bike. She watches and waits but he does not return,"[1, 0, 0, 0, 0, 0]"
"The film scene opens with a father and a daughter spending time together, cycling. They appear to travel a great distance before the father gets off his bike. The daughter follows her father and clearly admires him. It appears as though the father reciprocates the daughter's affections. When he views the boat he decides to leave the young girl on her own. This is confusing because he appears to love his daughter, as demonstrated by the embrace he gives her before he leaves. This would suggest that the decision to leave her was potentially unavoidable? The daughter appears distressed when her father leaves. She stays and watches him until he is out of view on the horizon. She eventually realises he may not be coming back and presumably cycles home. However, it is apparent she has not gotten over the loss of her father as she returns to the same spot to look for him.","[4, 1, 1, 2, 1, 0]"
"A father and daughter go out for a walk together. They are very much united. They then go for a cycle in the countryside to a forest. They prop the bicycles up against two trees and walk out of the forest to the edge of a hill. The father then goes down to the bottom of the hill where a boat waits bobbing on a lake. Looking back up he sees that his daughter is still standing at the top of the hill. He makes his way back up to his daughter where they embrace in a hug of warmth and love. He lifts her up and spins her around before setting her back down on the spot where she had been standing. The father then goes back down to the bottom of the hill and gets into the boat and rows out across the lake leaving his daughter standing there watching on in sadness and despair, The young girls goes back to get her bike and cycles away only to return the next day to see if her father has come back across the lake to her. Unfortunately he has not and the little girl is alone.","[4, 0, 1, 2, 0, 0]"
"In my view, a father and daughter cycle together to the waterfront.  After some distance, they pull in by two trees and park their bikes beside each other.  There is a row boat in the water.  The father walks down to the row boat, hesitates, and then walks up the hill again to give his daughter one last hug.  He then returns to the boat and rows away into the sunset, leaving his daughter confused and helpless.  She watches her father get smaller and smaller as he moves further away and eventually disappears.  She seems restless and in a little bit of a panic as she paces along the cliff.  Eventually she gets back on her bike and cycles away.  She returns the next day in the hope of seeing her father again but there is no one there.  We are left to wonder where he has gone, why he left her and whether he will ever return.","[4, 0, 0, 0, 0, 1]"
"The sun is setting. A girl and her father cycle together towards the top of a hill where the father parks his bike. The daughter imitates him, he then walks down the hill towards a small wooden boat anchored by the shore while the daughter watches him from above. He turns and goes back up to lovingly hug the girl before turning back and rowing away while his daughter sadly watches him leave, alone. In the daughter's near future she cycles back to the hill where her dad's bike is still resting against a tree, and looks to see if he came / is coming back, but all she sees is a vast, empty sea. She is sad. / The story might be about the death of a loving father and the loneliness of his only remaining child.","[3, 1, 1, 2, 0, 1]"
a young girl and her father cycle up a hill. there is a boat at the bottom of the hill. the girl tries to get in the boat but her father stops her. he brings her back up to the top of the hill. he then gets into the boat himself leaving her alone and sails away. the girl waits for him at the top of the hill until she can no longer see him. she then cycles away and returns later when it's darker but her father still hasnt come back and she leaves again,"[0, 1, 1, 0, 0, 0]"
"Father and daughter are cycling together beside each other, daughter looks upon her father as if he is an example to her (someone to follow). They cycle up to the top of the hill. Father leaves his bike at the first tree, when daughter sees it, she does the same thing (follows father as if he knows how to do everything right). Father squats down and hugs her, it feels like they have emotional connection. Father walks down to the boat while daughter stays on the hill, but then he looks back and rushes back to her. Father takes her into his arms and hugs again, this proves that they have very close connection, that they love each other. Then the father goes back to the boat and rows away to the sea while daughter is running from one place to another on the hill looking at him. His boat disappears in the distance, she sits on her bike and leaves.  / It looks like another day, daughter is cycling to that place again, leaves her bike at the same tree and looks at the sea, but there's nothing so she gets on her bike and leaves again. / ","[4, 0, 0, 3, 1, 0]"
The father and the daughter in the film have a close bond. It would appear at the beginning they have travelled long and far from their home. Then the father must leave his daughter. He appears to do so regretfully because he loves his daughter. The daughter is upset. The strong bond between them means the daughter comes back to look for her father but he has not seemed to care and has not returned. The daughter is left alone. ,"[3, 0, 1, 5, 0, 1]"
"A young girl and her father set out on a sort of day trip on bikes. The girl tries to keep up with her father as they cycle up hills to get to their destination. They reach a tree and park their bikes there. The disembark and the father embraces his daughter before descending a steep hill. He then turns around and hugs his daughter once more. She watches as he gets into a boat and rows away. She looks very unhappy and sad to see her father leaving. She sets off home alone and returns later to find his bike still there, he has not returned. The girl looks into the distance with the same unhappy look as before. The colours are now red which represent sunset and the day drawing to a close.","[3, 0, 1, 0, 0, 0]"
"Father and daughter, father leaves, girl tries to return / find him ","[0, 0, 1, 0, 0, 0]"
"The father and daughter were riding bicycles together. They went over a big hill and then they both stopped at these trees. The father then went down the hill and we saw a boat, he paused and then went back up the hill and picked up his daughter and hugged her and kissed her. He went back down again and then got into the boat leaving the daughter at the top of the hill. The daughter watches as the father rows into the horizon, she then waits and runs back and forth on the road. There is then a close up on her face where she looks sad. It gets dark and she leaves on her bike, the father still not there. We then see her cycling on her own back up the hill, she looks older/bigger. She comes to the same spot, her fathers bike is still there but we dont see any sign of a boat. There is another close up of her face again looking sad and the daughter then leaves and cycles home again.","[2, 0, 0, 0, 0, 0]"
